"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2018,2018-06-29,241.854166666667,208,7.02729166666667,6.935
2018,2018-06-30,83.103125,79.6,6.22145833333333,6.2
2018,2018-07-01,52.5052083333333,51.7,5.95697916666667,5.95
2018,2018-07-02,39.9416666666667,39.1,5.81947916666667,5.81
2018,2018-07-03,34.0625,33.7,5.74489583333333,5.74
2018,2018-07-04,30.6572916666667,30.1,5.6978125,5.69
2018,2018-07-05,26.971875,26.8,5.65020833333333,5.65
2018,2018-07-06,33.3125,26.2,5.72489583333333,5.64
2018,2018-07-07,46.9291666666667,44.1,5.894375,5.87
2018,2018-07-08,29.4645833333333,28.5,5.68447916666667,5.67
2018,2018-07-09,24.9604166666667,24.6,5.61572916666667,5.61
2018,2018-07-10,23.0270833333333,22.9,5.5834375,5.58
2018,2018-07-11,21.4625,21.7,5.55666666666667,5.56
2018,2018-07-12,19.6729166666667,19.6,5.53239583333333,5.53
2018,2018-07-13,18.0802083333333,18,5.50145833333333,5.5
2018,2018-07-14,17.6729166666667,17.6,5.49145833333333,5.49
2018,2018-07-15,19.9354166666667,20.4,5.53239583333333,5.54
2018,2018-07-16,19.246875,19.3,5.51822916666667,5.52
2018,2018-07-17,30.1604166666667,18.3,5.64364583333333,5.5
2018,2018-07-18,37.775,37,5.793125,5.79
2018,2018-07-19,25.8760416666667,25.5,5.63427083333333,5.63
2018,2018-07-20,20.125,19.7,5.538125,5.53
2018,2018-07-21,18.1458333333333,18.1,5.50072916666667,5.5
2018,2018-07-22,26.24375,20.95,5.62197916666667,5.55
2018,2018-07-23,385.265625,262,7.16541666666667,7.15
2018,2018-07-24,372.0625,278,7.42583333333333,7.21
2018,2018-07-25,116.821875,112,6.45479166666667,6.43
2018,2018-07-26,692.791666666667,617.5,8.2925,8.22
2018,2018-07-27,199.15625,184,6.87489583333333,6.82
2018,2018-07-28,160.84375,154,6.6990625,6.67
2018,2018-07-29,101.586458333333,101,6.35354166666667,6.35
2018,2018-07-30,71.084375,69.3,6.12447916666667,6.11
2018,2018-07-31,58.1802083333333,57.3,6.0109375,6
2018,2018-08-01,54.51875,50.4,5.97833333333333,5.94
2018,2018-08-02,87.9677083333333,86.85,6.26114583333333,6.255
2018,2018-08-03,62.1729166666667,59.9,6.05041666666667,6.03
2018,2018-08-04,308.938541666667,264,7.2771875,7.16
2018,2018-08-05,144.9375,141,6.6140625,6.6
2018,2018-08-06,88.25625,85.6,6.25833333333333,6.24
2018,2018-08-07,67.0135416666667,65,6.09427083333333,6.08
2018,2018-08-08,115.497916666667,117,6.4421875,6.46
2018,2018-08-09,225.28125,211,6.979375,6.945
2018,2018-08-10,111.920833333333,106,6.4215625,6.39
2018,2018-08-11,78.5958333333333,76.4,6.1878125,6.17
2018,2018-08-12,444.210416666667,386,7.65375,7.585
2018,2018-08-13,185.1875,176,6.8178125,6.78
2018,2018-08-14,262.6875,285,7.1340625,7.245
2018,2018-08-15,243.583333333333,229,7.06989583333333,7.025
2018,2018-08-16,135.416666666667,134,6.5678125,6.56
2018,2018-08-17,103.357291666667,102,6.36885416666667,6.36
2018,2018-08-18,505.260416666667,506.5,7.77416666666667,7.935
2018,2018-08-19,319.052083333333,295,7.335,7.275
2018,2018-08-20,156.052083333333,154,6.6784375,6.665
2018,2018-08-21,121.229166666667,120,6.4875,6.48
2018,2018-08-22,245.791666666667,132,6.9596875,6.55
2018,2018-08-23,203.479166666667,190,6.89895833333333,6.85
2018,2018-08-24,123.072916666667,121,6.49385416666667,6.48
2018,2018-08-25,99.0322916666667,97.8,6.33822916666667,6.33
2018,2018-08-26,88.2114583333333,88.2,6.2603125,6.26
2018,2018-08-27,81.6697916666667,81.7,6.20989583333333,6.21
2018,2018-08-28,73.953125,73.65,6.1503125,6.15
2018,2018-08-29,66.1635416666667,65.1,6.09,6.08
2018,2018-08-30,58.7,58.5,6.02114583333333,6.02
2018,2018-08-31,53.03125,52.5,5.96489583333333,5.96
2018,2018-09-01,49.9895833333333,49.7,5.933125,5.93
2018,2018-09-02,47.8760416666667,47.9,5.9096875,5.91
2018,2018-09-03,46.3635416666667,46.2,5.8925,5.89
2018,2018-09-04,43.953125,43.6,5.86458333333333,5.86
2018,2018-09-05,40.9,40.2,5.82864583333333,5.82
2018,2018-09-06,39.1104166666667,38.6,5.80614583333333,5.8
2018,2018-09-07,40.2760416666667,40.3,5.82666666666667,5.83
2018,2018-09-08,38.4645833333333,38,5.80677083333333,5.8
2018,2018-09-09,36.1364583333333,35.6,5.77666666666667,5.77
2018,2018-09-10,39.7229166666667,36.5,5.814375,5.78
2018,2018-09-11,210.555208333333,205.5,6.8984375,6.92
2018,2018-09-12,327.239583333333,124,7.06291666666667,6.5
2018,2018-09-13,286.197916666667,285,7.22322916666667,7.24
2018,2018-09-14,139.4375,136,6.5853125,6.57
2018,2018-09-15,100.769791666667,99.5,6.34822916666667,6.34
2018,2018-09-16,80.5802083333333,79.2,6.20166666666667,6.19
2018,2018-09-17,68.2104166666667,67.3,6.10802083333333,6.1
2018,2018-09-18,745.621875,558,7.99229166666667,8.075
2018,2018-09-19,417.760416666667,364,7.63385416666667,7.52
2018,2018-09-20,187.635416666667,188,6.8378125,6.84
2018,2018-09-21,144.604166666667,143,6.61927083333333,6.61
2018,2018-09-22,146.114583333333,147,6.62697916666667,6.63
2018,2018-09-23,113.90625,112,6.43625,6.425
2018,2018-09-24,99.6375,99.4,6.34125,6.34
2018,2018-09-25,295.379166666667,93.8,6.90677083333333,6.3
2018,2018-09-26,637.291666666667,504,8.17447916666667,7.935
2018,2018-09-27,775.729166666667,662,8.49479166666667,8.325
2018,2018-09-28,354.885416666667,359.5,7.48739583333333,7.505
2018,2018-09-29,283.197916666667,277.5,7.231875,7.215
2018,2018-09-30,195.78125,192,6.875625,6.86
2018,2018-10-01,160.875,160,6.7053125,6.7
2018,2018-10-02,194.822916666667,208,6.8634375,6.93
2018,2018-10-03,402.28125,397,7.62520833333333,7.62
2018,2018-10-04,228.6875,222,7.013125,6.99
2018,2018-10-05,171.291666666667,172,6.75364583333333,6.76
2018,2018-10-06,139.208333333333,138,6.59427083333333,6.59
2018,2018-10-07,131.770833333333,132,6.55,6.55
2018,2018-10-08,123.0625,122,6.4978125,6.49
2018,2018-10-09,125.083333333333,125,6.5090625,6.51
2018,2018-10-10,116.604166666667,116,6.45510416666667,6.45
2018,2018-10-11,170.114583333333,108,6.63135416666667,6.4
2018,2018-10-12,406.604166666667,350,7.59447916666667,7.47
2018,2018-10-13,173.166666666667,167,6.76677083333333,6.74
2018,2018-10-14,147.197916666667,145,6.63291666666667,6.62
2018,2018-10-15,128.25,127,6.52708333333333,6.52
2018,2018-10-16,152.479166666667,151,6.66135416666667,6.655
2018,2018-10-17,124.875,122,6.50552083333333,6.49
2018,2018-10-18,111.895833333333,112,6.4259375,6.425
2018,2018-10-19,99.6614583333333,99,6.34520833333333,6.34
2018,2018-10-20,96.5375,96.1,6.323125,6.32
2018,2018-10-21,93.475,94,6.30125,6.305
2018,2018-10-22,84.3125,82.5,6.23375,6.22
2018,2018-10-23,80.6583333333333,79.9,6.20583333333333,6.2
2018,2018-10-24,81.5927083333333,81.2,6.21302083333333,6.21
2018,2018-10-25,77.4041666666667,76.1,6.18020833333333,6.17
2018,2018-10-26,73.125,73.7,6.14520833333333,6.15
2018,2018-10-27,110.863541666667,71.3,6.35520833333333,6.13
2018,2018-10-28,248.59375,232.5,7.0859375,7.035
2018,2018-10-29,173.28125,158,6.75947916666667,6.69
2018,2018-10-30,165.114583333333,158,6.72229166666667,6.69
2018,2018-10-31,117.458333333333,116,6.46010416666667,6.45
2018,2018-11-01,106.53125,106,6.3921875,6.39
2018,2018-11-02,196.583333333333,113.5,6.77708333333333,6.435
2018,2018-11-03,1205.97916666667,1130,9.32739583333333,9.255
2018,2018-11-04,439.854166666667,402.5,7.72145833333333,7.64
2018,2018-11-05,251.083333333333,246,7.10947916666667,7.09
2018,2018-11-06,335.270833333333,332,7.39666666666667,7.41
2018,2018-11-07,428.635416666667,406,7.69583333333333,7.65
2018,2018-11-08,244.25,241,7.0815625,7.07
2018,2018-11-09,204.625,203,6.915625,6.91
2018,2018-11-10,385.71875,402.5,7.566875,7.64
2018,2018-11-11,252.114583333333,243,7.11125,7.08
2018,2018-11-12,195.114583333333,194,6.87239583333333,6.87
2018,2018-11-13,332.208333333333,204.5,7.30927083333333,6.915
2018,2018-11-14,341.40625,312,7.42291666666667,7.34
2018,2018-11-15,209.604166666667,207,6.93677083333333,6.925
2018,2018-11-16,204.427083333333,208,6.91479166666667,6.93
2018,2018-11-17,202.53125,202,6.9059375,6.905
2018,2018-11-18,202.260416666667,203,6.905,6.91
2018,2018-11-19,189.177083333333,188,6.845,6.84
2018,2018-11-20,234.28125,236,7.04229166666667,7.05
2018,2018-11-21,221.572916666667,218,6.986875,6.975
2018,2018-11-22,162.864583333333,160,6.7140625,6.7
2018,2018-11-23,135.3125,134,6.56666666666667,6.56
2018,2018-11-24,133.75,134,6.55864583333333,6.56
2018,2018-11-25,163.822916666667,166,6.7175,6.73
2018,2018-11-26,188.875,188,6.8428125,6.84
2018,2018-11-27,667.1875,652.5,8.294375,8.3
2018,2018-11-28,382.53125,368,7.5634375,7.53
2018,2018-11-29,249.25,248,7.101875,7.1
2018,2018-11-30,204.833333333333,206,6.9165625,6.92
2018,2018-12-01,182.5625,182,6.81354166666667,6.81
2018,2018-12-02,303.739583333333,220.5,7.24520833333333,6.985
2018,2018-12-03,361.864583333333,338,7.50010416666667,7.43
2018,2018-12-04,271.84375,266,7.18885416666667,7.17
2018,2018-12-05,201.010416666667,198,6.89875,6.885
2018,2018-12-06,175.708333333333,176,6.78083333333333,6.78
2018,2018-12-07,160.770833333333,162,6.70489583333333,6.71
2018,2018-12-08,137.191489361702,138,6.57797872340426,6.585
