"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","DO","pH","turb","date","time"
"D01","HOPB","102","100",2019-09-23 18:09:00,2019-09-23 18:09:00,8.99,7.06,3.88,2019-09-23,"18:09:00"
"D01","HOPB","102","100",2019-09-23 18:10:00,2019-09-23 18:10:00,8.99,7.06,3.85,2019-09-23,"18:10:00"
"D01","HOPB","102","100",2019-09-23 18:11:00,2019-09-23 18:11:00,9,7.06,3.77,2019-09-23,"18:11:00"
"D01","HOPB","102","100",2019-09-23 18:12:00,2019-09-23 18:12:00,8.99,7.06,3.86,2019-09-23,"18:12:00"
"D01","HOPB","102","100",2019-09-23 18:13:00,2019-09-23 18:13:00,8.98,7.06,3.84,2019-09-23,"18:13:00"
"D01","HOPB","102","100",2019-09-23 18:14:00,2019-09-23 18:14:00,8.98,7.06,3.84,2019-09-23,"18:14:00"
"D01","HOPB","102","100",2019-09-23 18:15:00,2019-09-23 18:15:00,8.98,7.06,3.82,2019-09-23,"18:15:00"
"D01","HOPB","102","100",2019-09-23 18:16:00,2019-09-23 18:16:00,8.98,7.06,3.91,2019-09-23,"18:16:00"
"D01","HOPB","102","100",2019-09-23 18:17:00,2019-09-23 18:17:00,8.96,7.06,3.83,2019-09-23,"18:17:00"
"D01","HOPB","102","100",2019-09-23 18:18:00,2019-09-23 18:18:00,8.96,7.06,3.84,2019-09-23,"18:18:00"
"D01","HOPB","102","100",2019-09-23 18:19:00,2019-09-23 18:19:00,8.96,7.06,3.98,2019-09-23,"18:19:00"
"D01","HOPB","102","100",2019-09-23 18:20:00,2019-09-23 18:20:00,8.96,7.06,3.99,2019-09-23,"18:20:00"
"D01","HOPB","102","100",2019-09-23 18:21:00,2019-09-23 18:21:00,8.96,7.06,3.82,2019-09-23,"18:21:00"
"D01","HOPB","102","100",2019-09-23 18:22:00,2019-09-23 18:22:00,8.95,7.06,3.86,2019-09-23,"18:22:00"
"D01","HOPB","102","100",2019-09-23 18:23:00,2019-09-23 18:23:00,8.95,7.06,3.86,2019-09-23,"18:23:00"
"D01","HOPB","102","100",2019-09-23 18:24:00,2019-09-23 18:24:00,8.94,7.06,3.85,2019-09-23,"18:24:00"
"D01","HOPB","102","100",2019-09-23 18:25:00,2019-09-23 18:25:00,8.93,7.06,3.9,2019-09-23,"18:25:00"
"D01","HOPB","102","100",2019-09-23 18:26:00,2019-09-23 18:26:00,8.93,7.06,3.87,2019-09-23,"18:26:00"
"D01","HOPB","102","100",2019-09-23 18:27:00,2019-09-23 18:27:00,8.92,7.06,3.93,2019-09-23,"18:27:00"
"D01","HOPB","102","100",2019-09-23 18:28:00,2019-09-23 18:28:00,8.92,7.06,3.93,2019-09-23,"18:28:00"
"D01","HOPB","102","100",2019-09-23 18:29:00,2019-09-23 18:29:00,8.92,7.06,3.87,2019-09-23,"18:29:00"
"D01","HOPB","102","100",2019-09-23 18:30:00,2019-09-23 18:30:00,8.92,7.06,3.89,2019-09-23,"18:30:00"
"D01","HOPB","102","100",2019-09-24 17:30:00,2019-09-24 17:30:00,9.15,7.1,0.75,2019-09-24,"17:30:00"
"D01","HOPB","102","100",2019-09-24 17:31:00,2019-09-24 17:31:00,9.16,7.1,0.73,2019-09-24,"17:31:00"
"D01","HOPB","102","100",2019-09-24 17:32:00,2019-09-24 17:32:00,9.15,7.1,0.76,2019-09-24,"17:32:00"
"D01","HOPB","102","100",2019-09-24 17:33:00,2019-09-24 17:33:00,9.15,7.1,0.76,2019-09-24,"17:33:00"
"D01","HOPB","102","100",2019-09-24 17:34:00,2019-09-24 17:34:00,9.14,7.1,0.76,2019-09-24,"17:34:00"
"D01","HOPB","102","100",2019-09-24 17:35:00,2019-09-24 17:35:00,9.14,7.09,0.77,2019-09-24,"17:35:00"
"D01","HOPB","102","100",2019-09-24 17:36:00,2019-09-24 17:36:00,9.13,7.09,0.75,2019-09-24,"17:36:00"
"D01","HOPB","102","100",2019-09-24 17:37:00,2019-09-24 17:37:00,9.12,7.09,0.76,2019-09-24,"17:37:00"
"D01","HOPB","102","100",2019-09-24 17:38:00,2019-09-24 17:38:00,9.12,7.09,0.76,2019-09-24,"17:38:00"
"D01","HOPB","102","100",2019-09-24 17:39:00,2019-09-24 17:39:00,9.11,7.09,0.8,2019-09-24,"17:39:00"
"D01","HOPB","102","100",2019-09-24 17:40:00,2019-09-24 17:40:00,9.1,7.09,0.83,2019-09-24,"17:40:00"
"D01","HOPB","102","100",2019-09-24 17:41:00,2019-09-24 17:41:00,9.1,7.09,0.81,2019-09-24,"17:41:00"
"D01","HOPB","102","100",2019-09-24 17:42:00,2019-09-24 17:42:00,9.09,7.09,0.72,2019-09-24,"17:42:00"
"D01","HOPB","102","100",2019-09-24 17:43:00,2019-09-24 17:43:00,9.09,7.09,0.72,2019-09-24,"17:43:00"
"D01","HOPB","102","100",2019-09-24 17:44:00,2019-09-24 17:44:00,9.08,7.09,0.82,2019-09-24,"17:44:00"
"D01","HOPB","102","100",2019-09-24 17:45:00,2019-09-24 17:45:00,9.08,7.09,0.73,2019-09-24,"17:45:00"
"D01","HOPB","102","100",2019-09-24 17:46:00,2019-09-24 17:46:00,9.07,7.09,0.79,2019-09-24,"17:46:00"
"D01","HOPB","102","100",2019-09-24 17:47:00,2019-09-24 17:47:00,9.07,7.08,0.77,2019-09-24,"17:47:00"
"D01","HOPB","102","100",2019-09-24 17:48:00,2019-09-24 17:48:00,9.07,7.08,0.77,2019-09-24,"17:48:00"
"D01","HOPB","102","100",2019-09-24 17:49:00,2019-09-24 17:49:00,9.07,7.08,0.78,2019-09-24,"17:49:00"
"D01","HOPB","102","100",2019-09-24 17:50:00,2019-09-24 17:50:00,9.06,7.08,0.75,2019-09-24,"17:50:00"
"D01","HOPB","102","100",2019-09-24 17:51:00,2019-09-24 17:51:00,9.06,7.08,0.75,2019-09-24,"17:51:00"
"D01","HOPB","102","100",2019-09-24 17:52:00,2019-09-24 17:52:00,9.05,7.08,0.79,2019-09-24,"17:52:00"
