"domainID","siteID","date","year","yday","daily.precip","mon.precip"
"D01","HOPB",2019-01-14,2019,14,0.48,NA
"D01","HOPB",2019-01-15,2019,15,0.34,NA
"D01","HOPB",2019-01-16,2019,16,0.82,NA
"D01","HOPB",2019-01-17,2019,17,0.8,NA
"D01","HOPB",2019-01-18,2019,18,0.42,NA
"D01","HOPB",2019-01-19,2019,19,0.44,NA
"D01","HOPB",2019-01-20,2019,20,16.15,NA
"D01","HOPB",2019-01-21,2019,21,0.29,NA
"D01","HOPB",2019-01-22,2019,22,0.62,NA
"D01","HOPB",2019-01-23,2019,23,0.47,NA
"D01","HOPB",2019-01-24,2019,24,46.7,NA
"D01","HOPB",2019-01-25,2019,25,0.82,NA
"D01","HOPB",2019-01-26,2019,26,0.35,NA
"D01","HOPB",2019-01-27,2019,27,0.13,NA
"D01","HOPB",2019-01-28,2019,28,0.63,NA
"D01","HOPB",2019-01-29,2019,29,0.06,NA
"D01","HOPB",2019-01-30,2019,30,5.4,95.67
"D01","HOPB",2019-01-31,2019,31,0.72,86.8
"D01","HOPB",2019-02-01,2019,32,0.42,86.67
"D01","HOPB",2019-02-02,2019,33,0.67,86.74
"D01","HOPB",2019-02-03,2019,34,0.49,86.61
"D01","HOPB",2019-02-04,2019,35,0.49,85.99
"D01","HOPB",2019-02-05,2019,36,0.6,86.02
"D01","HOPB",2019-02-06,2019,37,1.13,86.6
"D01","HOPB",2019-02-07,2019,38,3.87,89.6
"D01","HOPB",2019-02-08,2019,39,3.34,88.63
"D01","HOPB",2019-02-09,2019,40,0.82,89.21
"D01","HOPB",2019-02-10,2019,41,0.99,89.41
"D01","HOPB",2019-02-11,2019,42,0.68,89.51
"D01","HOPB",2019-02-12,2019,43,7.04,96.18
"D01","HOPB",2019-02-13,2019,44,11.41,107.11
"D01","HOPB",2019-02-14,2019,45,0.74,107.51
"D01","HOPB",2019-02-15,2019,46,0.96,107.65
"D01","HOPB",2019-02-16,2019,47,0.74,107.59
"D01","HOPB",2019-02-17,2019,48,0.57,107.74
"D01","HOPB",2019-02-18,2019,49,1.67,108.97
"D01","HOPB",2019-02-19,2019,50,0.57,93.39
"D01","HOPB",2019-02-20,2019,51,0.46,93.56
"D01","HOPB",2019-02-21,2019,52,6.1,99.04
"D01","HOPB",2019-02-22,2019,53,0.72,99.29
"D01","HOPB",2019-02-23,2019,54,0.43,53.02
"D01","HOPB",2019-02-24,2019,55,3.72,55.92
"D01","HOPB",2019-02-25,2019,56,0.47,56.04
"D01","HOPB",2019-02-26,2019,57,0.38,56.29
"D01","HOPB",2019-02-27,2019,58,0.43,56.09
"D01","HOPB",2019-02-28,2019,59,2.19,58.22
"D01","HOPB",2019-03-01,2019,60,0.59,53.41
"D01","HOPB",2019-03-02,2019,61,1.01,53.7
"D01","HOPB",2019-03-03,2019,62,0.59,53.87
"D01","HOPB",2019-03-04,2019,63,5.66,58.86
"D01","HOPB",2019-03-05,2019,64,1.08,59.45
"D01","HOPB",2019-03-06,2019,65,1.22,60.18
"D01","HOPB",2019-03-07,2019,66,0.81,60.39
"D01","HOPB",2019-03-08,2019,67,0.99,60.25
"D01","HOPB",2019-03-09,2019,68,0.69,57.07
"D01","HOPB",2019-03-10,2019,69,6.53,60.26
"D01","HOPB",2019-03-11,2019,70,0.44,59.88
"D01","HOPB",2019-03-12,2019,71,0.83,59.72
"D01","HOPB",2019-03-13,2019,72,0.57,59.61
"D01","HOPB",2019-03-14,2019,73,0.62,53.19
"D01","HOPB",2019-03-15,2019,74,0.2,41.98
"D01","HOPB",2019-03-16,2019,75,0.7,41.94
"D01","HOPB",2019-03-17,2019,76,0.75,41.73
"D01","HOPB",2019-03-18,2019,77,0.69,41.68
"D01","HOPB",2019-03-19,2019,78,0.81,41.92
"D01","HOPB",2019-03-20,2019,79,0.92,41.17
"D01","HOPB",2019-03-21,2019,80,0.73,41.33
"D01","HOPB",2019-03-22,2019,81,5.34,46.21
"D01","HOPB",2019-03-23,2019,82,2.58,42.69
"D01","HOPB",2019-03-24,2019,83,0.81,42.78
"D01","HOPB",2019-03-25,2019,84,1.06,43.41
"D01","HOPB",2019-03-26,2019,85,0,39.69
"D01","HOPB",2019-03-27,2019,86,1.44,40.66
"D01","HOPB",2019-03-28,2019,87,0.89,41.17
"D01","HOPB",2019-03-29,2019,88,1.27,42.01
"D01","HOPB",2019-03-30,2019,89,0.89,40.71
"D01","HOPB",2019-03-31,2019,90,4.92,45.04
"D01","HOPB",2019-04-01,2019,91,1.75,45.78
"D01","HOPB",2019-04-02,2019,92,1.1,46.29
"D01","HOPB",2019-04-03,2019,93,1.36,41.99
"D01","HOPB",2019-04-04,2019,94,1.67,42.58
