"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"81","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.CORE.3","HOPB.20191003",2019-10-03,2019,"pool","core",0.006
"82","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.CORE.2","HOPB.20191003",2019-10-03,2019,"pool","core",0.006
"83","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.SURBER.3","HOPB.20191003",2019-10-03,2019,"riffle","surber",0.093
"84","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.SURBER.5","HOPB.20191003",2019-10-03,2019,"riffle","surber",0.093
"85","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.CORE.1","HOPB.20191003",2019-10-03,2019,"pool","core",0.006
"86","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.SURBER.1","HOPB.20191003",2019-10-03,2019,"riffle","surber",0.093
"87","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20191003.SURBER.4","HOPB.20191003",2019-10-03,2019,"riffle","surber",0.093
"88","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,NA,"HOPB.20200413",2020-04-13,2020,"pool",NA,NA
"89","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,NA,"HOPB.20200413",2020-04-13,2020,"riffle",NA,NA
"90","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.SURBER.3","HOPB.20200622",2020-06-22,2020,"riffle","surber",0.093
"91","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.CORE.3","HOPB.20200622",2020-06-22,2020,"pool","core",0.006
"92","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.CORE.1","HOPB.20200622",2020-06-22,2020,"pool","core",0.006
"93","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.SURBER.5","HOPB.20200622",2020-06-22,2020,"riffle","surber",0.093
"94","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.CORE.2","HOPB.20200622",2020-06-22,2020,"pool","core",0.006
"95","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.SURBER.4","HOPB.20200622",2020-06-22,2020,"riffle","surber",0.093
"96","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.SURBER.2","HOPB.20200622",2020-06-22,2020,"riffle","surber",0.093
"97","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200622.SURBER.1","HOPB.20200622",2020-06-22,2020,"riffle","surber",0.093
"98","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.CORE.2","HOPB.20200714",2020-07-14,2020,"pool","core",0.006
"99","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.SURBER.5","HOPB.20200714",2020-07-14,2020,"riffle","surber",0.093
"100","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.CORE.3","HOPB.20200714",2020-07-14,2020,"pool","core",0.006
"101","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.SURBER.1","HOPB.20200714",2020-07-14,2020,"riffle","surber",0.093
"102","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.CORE.1","HOPB.20200714",2020-07-14,2020,"pool","core",0.006
"103","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.SURBER.3","HOPB.20200714",2020-07-14,2020,"riffle","surber",0.093
"104","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.SURBER.2","HOPB.20200714",2020-07-14,2020,"riffle","surber",0.093
"105","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20200714.SURBER.4","HOPB.20200714",2020-07-14,2020,"riffle","surber",0.093
